7 3
9 4
11 4
14 1
17 4
25 3
32 1
32 3
37 5
40 4
42 4
45 1
51 1
52 1
56 2
57 3
59 3
59 5
64 4
67 2
67 3
71 4
75 2
75 5
77 3
88 4
90 3
90 5
92 5
95 5
101 2
111 2
113 4
124 4
127 2
134 1
134 4
134 5
139 4
140 4
146 1
146 2
148 5
154 4
162 2
162 3
163 1
167 1
170 2
175 3
180 1
186 4
186 5
187 3
192 5
194 5
195 5
197 1
198 4
199 5
200 2
201 5
202 5
204 5
207 5
216 5
219 1
224 1
225 2
226 4
227 4
233 4
237 3
238 4
239 4
239 4
243 4
248 4
249 4
251 4
255 4
260 3
262 1
262 2
262 3
266 4
268 3
273 2
279 4
279 4
284 1
290 4
294 2
296 5
300 2
303 5
304 3
306 3
309 4
317 2
317 4
319 5
323 3
324 1
329 2
335 5
337 1
337 4
342 1
343 3
344 4
346 5
348 2
351 4
357 2
367 2
371 2
371 4
372 5
376 4
381 3
389 2
393 2
395 4
403 1
406 2
411 1
416 4
416 5
417 5
419 2
426 1
426 2
432 1
434 4
435 1
441 1
442 2
445 4
449 1
455 4
457 2
461 3
461 3
462 5
463 5
467 1
469 2
475 2
475 5
